
Personal Information	Tab Corner Right	Student Services	Tab Corner Right	Financial Aid	Tab Corner Right	Employee Services	Tab Corner Right	Additional Academic Services	Tab Corner Right
Transparent Image
Search   
RETURN TO MENU | SITE MAP | HELP
Look-Up Classes to Add:

 	
988900485 Jay W. Brink
Fall 2013
Aug 14, 2013 07:40 pm
Transparent Image
 Information	 To register for classes, check the box in front of the CRN (C identifies a closed class, NR identifies class not available for registration at this time, and SR identifies student restrictions on class) and click Register or Add to Worksheet.
Stockton Students: To register for an Independent Study, Internship, Research or non-Engineering Co-op (course will be marked NR) - Click here.

Helpful Codes
WL = Cap, Act & Rem are used only by McGeorge School of Law
Location: NBA = No Building Assigned
Sec: L = Lab; D = Discussion; ON = Online;

Sections Found
ACTY - Activity
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	82248	BIOL	035	01	1	4.000	Environment: Concepts & Issues	MWF	09:30 am-10:45 am	22	21	1	0	0	0	0	0	0	Stacy A Sherman (P)	08/26-12/13	BIOBLG 116	Environmental Studies Courses and GE III-C: Science, Tech., Soc. and SIS Comparing World Religions
SR	81073	BIOL	041	01	1	4.000	Introduction to Biology	MW	05:00 pm-06:45 pm	22	21	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	BIOBLG 116	Environmental Studies Courses and GE III-A: Laboratory Sciences
SR	81074	BIOL	041	L01	1	0.000	Introduction to Biology, Lab 1	R	07:00 pm-09:45 pm	22	21	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	BIOBLG 116	Environmental Studies Courses and GE III-A: Laboratory Sciences
SR	82432	BIOL	051	01	1	4.000	Principles of Biology	MWF	08:00 am-09:15 am	100	68	32	0	0	0	0	0	0	Lisa Anne Wrischnik (P)	08/26-12/13	BIOBLG 101	Environmental Studies Courses and GE III-A: Laboratory Sciences
SR	82433	BIOL	051	02	1	4.000	Principles of Biology	MWF	08:00 am-09:15 am	70	38	32	0	0	0	0	0	0	Stacy A Sherman (P)	08/26-12/13	BIOBLG 144	Environmental Studies Courses and GE III-A: Laboratory Sciences
SR	82434	BIOL	051	03	1	4.000	Principles of Biology	MWF	09:30 am-10:45 am	100	75	25	0	0	0	0	0	0	Kirkwood M Land (P)	08/26-12/13	BIOBLG 101	Environmental Studies Courses and GE III-A: Laboratory Sciences
SR	82435	BIOL	051	04	1	4.000	Principles of Biology	MWF	11:00 am-12:15 pm	100	94	6	0	0	0	0	0	0	Tara C Thiemann (P)	08/26-12/13	BIOBLG 101	Environmental Studies Courses and GE III-A: Laboratory Sciences
SR	82436	BIOL	051	05	1	4.000	Principles of Biology	MWF	12:30 pm-01:45 pm	100	75	25	0	0	0	0	0	0	Kirkwood M Land (P)	08/26-12/13	BIOBLG 101	Environmental Studies Courses and GE III-A: Laboratory Sciences
SR	82561	BIOL	051	06	1	4.000	Principles of Biology	MWF	11:00 am-12:15 pm	32	22	10	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	BIOBLG 261	Environmental Studies Courses and GE III-A: Laboratory Sciences
SR	82437	BIOL	051	L01	1	0.000	Principles of Biology, Lab 1	T	09:00 am-11:50 am	60	55	5	0	0	0	0	0	0	Mark Brunell (P)	08/26-12/13	BIOBLG 108	Environmental Studies Courses and GE III-A: Laboratory Sciences
